Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
97.2,6751281029,6780,995764.2,117402.0,24254,101750870,4659410.3,cuLibraryLoadData
1.1,78781304,9308,8463.8,4984.0,3242,24282902,251713.1,cudaLaunchKernel
0.5,35457859,530,66901.6,32381.0,8536,2665045,224034.3,cudaMemGetInfo
0.3,18590629,2009,9253.7,7835.0,4426,61058,4691.1,cuLaunchKernelEx
0.1,10160597,28,362878.5,7429.5,5253,7261773,1396244.5,cudaStreamSynchronize
0.1,9139368,4797,1905.2,2334.0,249,26060,1611.3,cudaEventQuery
0.1,7241580,63,114945.7,103763.0,64853,408306,51281.2,cuMemSetAccess
0.1,5749179,635,9053.8,8693.0,5191,49522,4226.1,cuLaunchKernel
0.0,3345633,1880,1779.6,1246.0,409,14314,1569.5,cudaEventRecord
0.0,2989824,62,48223.0,45930.0,7540,302568,46870.9,cuMemAddressReserve
0.0,2424690,63,38487.1,33387.0,22028,101952,14061.9,cuMemMap
0.0,2385320,1296,1840.5,1329.0,492,13891,1304.8,cudaStreamWaitEvent
0.0,2238705,62,36108.1,20891.5,16142,162610,31446.4,cuMemCreate
0.0,1813419,146,12420.7,8883.0,2595,106829,12938.1,cudaMemcpyAsync
0.0,1560266,2019,772.8,694.0,167,10325,611.1,cudaThreadExchangeStreamCaptureMode
0.0,1469163,9300,158.0,109.0,64,11334,289.4,cuKernelGetName
0.0,1409598,2720,518.2,350.0,195,5001,459.3,cudaStreamIsCapturing
0.0,1162365,871,1334.5,1402.0,304,17020,1043.9,cudaEventCreateWithFlags
0.0,1022899,472,2167.2,2004.0,1634,9253,765.2,cudaGetFuncBySymbol
0.0,745535,537,1388.3,1235.0,436,5640,754.4,cudaEventRecordWithFlags
0.0,701158,58,12088.9,11212.5,10308,30061,3017.6,cudaMemsetAsync
0.0,700215,719,973.9,1051.0,244,10872,631.2,cudaEventDestroy
0.0,645066,471,1369.6,1240.0,974,10638,788.5,cudaStreamGetCaptureInfo_v3
0.0,636954,3,212318.0,208916.0,156715,271323,57379.7,cuModuleLoad
0.0,596503,3088,193.2,127.5,70,11823,346.2,cuKernelGetAttribute
0.0,571679,3,190559.7,50295.0,36075,485309,255359.4,cudaMalloc
0.0,417824,1760,237.4,141.0,69,6373,301.8,cuGetProcAddress_v2
0.0,244737,68,3599.1,3391.5,225,10196,2158.1,cuLibraryGetKernel
0.0,104436,4,26109.0,22563.5,5230,54079,20560.7,cudaHostAlloc
0.0,69092,3,23030.7,29867.0,5189,34036,15591.3,cudaFree
0.0,35352,2,17676.0,17676.0,16663,18689,1432.6,cuProfilerStart
0.0,29754,1,29754.0,29754.0,29754,29754,0.0,cudaLaunchKernelExC
0.0,23896,18,1327.6,1062.5,443,3755,1043.2,cuKernelSetAttribute
0.0,12580,4,3145.0,3167.5,1960,4285,1305.6,cuInit
0.0,6228,6,1038.0,256.5,128,2867,1316.2,cuModuleGetLoadingMode
0.0,1315,4,328.8,315.5,244,440,84.3,cudaGetDeviceProperties_v2
