Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
76.8,7700488227645,31623,243509098.7,57061855.0,907,5312371955,427287159.4,futex
15.3,1535247001788,47796,32120826.0,10010667.0,225,5001573233,107244978.6,epoll_wait
4.9,493444661428,4882,101074285.4,100067026.0,78373,1000074549,31694454.1,nanosleep
1.0,101002485493,2712,37242804.4,22887.0,2721,1000080919,96492444.8,pthread_cond_timedwait
0.8,78892155055,78,1011437885.3,952726331.5,51915,4014575032,657291234.7,pthread_cond_wait
0.7,65699364924,237,277212510.2,100525463.0,3340,1005025096,253936736.5,poll
0.2,19937668084,290,68750579.6,4498.5,944,1000173306,154596531.5,epoll_pwait
0.2,19502518222,38,513224163.7,100063941.0,100059077,5000066363,858084528.0,clock_nanosleep
0.1,8009351732,9,889927970.2,1026967.0,765113,2001686472,1054287339.6,sem_wait
0.0,74907971,1350,55487.4,1942.5,284,4760576,360062.0,read
0.0,52561958,7442,7062.9,7151.0,1394,27663,1510.2,stat64
0.0,52054380,134,388465.5,8945.5,657,9715925,1296547.6,ioctl
0.0,31726414,503,63074.4,66604.0,10081,186085,24869.7,sendmsg
0.0,21369452,222942,95.9,66.0,15,27033,290.8,pthread_cond_signal
0.0,12084797,678,17824.2,16534.5,2046,406852,23201.8,recvmsg
0.0,10443198,50,208864.0,208701.5,54373,315973,45371.5,pthread_join
0.0,9677435,983,9844.8,4929.0,686,887795,41101.5,recv
0.0,8054504,50,161090.1,160481.5,74663,239464,29479.4,pthread_create
0.0,7992375,344,23233.6,2181.5,219,2195477,145638.1,pthread_mutex_lock
0.0,6338175,494,12830.3,6872.5,4640,150503,15084.2,send
0.0,5735977,670,8561.2,10620.0,2188,247791,10630.7,open64
0.0,4865006,1439,3380.8,4610.0,692,16273,2093.9,fstat64
0.0,2914035,326,8938.8,7830.0,1671,60748,5226.8,kill
0.0,2178194,242,9000.8,4635.0,2260,78114,12967.9,write
0.0,1870518,105,17814.5,11504.0,9835,236072,23105.0,fopen64
0.0,1413964,296,4776.9,4517.5,1609,34203,2208.2,epoll_ctl
0.0,948690,159,5966.6,4411.0,967,183731,14918.3,fclose
0.0,897829,6788,132.3,114.0,17,10706,300.7,pthread_cond_broadcast
0.0,558970,170,3288.1,2628.5,1610,12974,1694.4,waitpid
0.0,504032,18,28001.8,26342.5,8494,72659,15658.4,munmap
0.0,285202,18,15844.6,13280.0,4693,37233,8620.8,mmap64
0.0,264887,282,939.3,70.0,60,64832,6550.7,fgets
0.0,261853,42,6234.6,4828.5,3901,24711,4254.7,fopen
0.0,259418,33,7861.2,7434.0,3374,24054,3186.4,lstat64
0.0,62437,1,62437.0,62437.0,62437,62437,0.0,writev
0.0,37919,6,6319.8,6002.5,3256,9936,2994.9,prctl
0.0,36373,2,18186.5,18186.5,9933,26440,11672.2,connect
0.0,31974,2,15987.0,15987.0,9769,22205,8793.6,socket
0.0,25135,1,25135.0,25135.0,25135,25135,0.0,socketpair
0.0,21259,3,7086.3,6061.0,3436,11762,4256.6,open
0.0,15435,15,1029.0,771.0,598,3034,665.0,fcntl
0.0,6448,12,537.3,443.0,129,1250,445.9,fflush
