Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
91.6,5997203310,6384,939411.5,117334.5,26018,62481102,3984365.7,CUDA_API,cuLibraryLoadData
2.7,174441075,290,601520.9,70864.0,33440,3252176,711914.8,CUDA_KERNEL,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
1.1,71255506,1,71255506.0,71255506.0,71255506,71255506,0.0,CUDA_API,cudaProfilerStop
0.6,40402691,6920,5838.5,5087.5,3302,60282,2727.9,CUDA_API,cudaLaunchKernel
0.6,37014808,312,118637.2,108341.5,63823,1403751,77448.6,CUDA_API,cuMemSetAccess
0.3,21943690,101,217264.3,227970.0,2881,234722,49147.2,CUDA_KERNEL,"void multi_tensor_apply_kernel<TensorListMetadata<(int)4, (bool)0>, transformer_engine::multi_tensor_adam::AdamFunctor<float, float, float, int>, float, float, float, float, float, float, transformer_engine::multi_tensor_adam::adamMode_t, float>(long, volatile int *, T1, T2, T3...)"
0.3,20415256,608,33577.7,31108.0,8165,3784126,152965.3,CUDA_API,cudaMemGetInfo
0.2,14129236,151,93571.1,5325.0,1775,7274441,631723.3,CUDA_API,cudaStreamSynchronize
0.2,13527856,767,17637.4,1537.0,928,612131,76148.9,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.2,13452869,456,29501.9,3759.0,2403,10687090,500249.4,CUDA_API,cudaMemcpyAsync
0.2,12073623,312,38697.5,34409.0,24283,384704,21698.0,CUDA_API,cuMemMap
0.2,11205010,1153,9718.1,8103.0,5219,26626,3487.1,CUDA_API,cuLaunchKernelEx
0.2,10733921,311,34514.2,34139.0,7039,233543,19678.1,CUDA_API,cuMemAddressReserve
0.1,8759453,48,182488.6,198508.0,141586,322182,36565.3,CUDA_API,cudaIpcOpenMemHandle
0.1,8435531,311,27123.9,18890.0,15240,633349,38715.9,CUDA_API,cuMemCreate
0.1,8100279,144,56251.9,56224.5,55136,57408,493.5,CUDA_KERNEL,nvjet_sm90_tst_256x128_64x4_1x2_h_bz_coopA_TNT
0.1,7714779,992,7777.0,1248.0,1120,381602,16445.2,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,6092736,286,21303.3,27103.5,13792,30592,7156.3,CUDA_KERNEL,nvjet_sm90_tst_128x128_64x6_4x2_h_bz_TNT
