PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
329640,329640,1,101,100,11176437.4,11466911.0,246378,21575918,6219848.8,4726.3,4123.0,3622,16667,2022.4,11064012.8,11348588.0,223457,21361301,6162513.2,217264.3,227970.0,2881,234722,49147.2,cudaLaunchKernel,"void multi_tensor_apply_kernel<TensorListMetadata<(int)4, (bool)0>, transformer_engine::multi_tensor_adam::AdamFunctor<float, float, float, int>, float, float, float, float, float, float, transformer_engine::multi_tensor_adam::adamMode_t, float>(long, volatile int *, T1, T2, T3...)"
329640,329640,1,659,637,8565690.6,1108496.0,8980,21437719,9420093.7,6188.0,6050.0,3302,60282,3267.4,8838773.7,1146011.0,1367,21431314,9453623.7,15951.4,1568.0,928,612131,67743.7,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
329640,329640,1,633,628,7892755.3,1576589.0,7149,17987750,7734652.5,4686.7,4266.0,3574,19462,1465.2,7941288.7,1576512.5,1658,17970184,7727769.1,9514.7,1376.0,1121,381602,19715.2,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
329640,329640,1,1,1,7342737.0,7342737.0,7342737,7342737,0.0,19084.0,19084.0,19084,19084,0.0,7322373.0,7322373.0,7322373,7322373,0.0,1280.0,1280.0,1280,1280,0.0,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
329640,329640,1,4,4,6539303.0,6531251.0,5625730,7468980,794386.6,15555.0,9621.5,8550,34427,12604.7,5867657.3,5867835.0,4928708,6806251,807789.2,656090.8,653987.0,653794,662595,4340.0,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float, (bool)1>, unsigned int, float, (int)4, (int)4>>(T3)"
329640,329640,1,10,10,5487086.8,2235929.0,7659,15086105,6713547.5,7290.4,5265.0,4051,18393,4966.9,5478455.8,2229259.5,1294,15065953,6712526.8,1340.6,1312.0,1152,1759,159.7,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
329640,330374,1,2,2,4622841.0,4622841.0,3374022,5871660,1766096.8,5987.5,5987.5,3890,8085,2966.3,4614917.5,4614917.5,3364305,5865530,1768633.2,1936.0,1936.0,1632,2240,429.9,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
329640,330374,1,4,4,3943631.5,3937579.5,3353567,4545800,680083.3,14486.3,13592.0,13150,17611,2098.8,2285537.3,2372747.0,877229,3519426,1085424.8,1643608.0,1563656.0,986052,2461068,739812.1,cuLaunchKernelEx,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
329640,330374,1,4,4,3632107.3,3711820.5,2796691,4308097,789908.8,13422.3,10855.5,9767,22211,5919.5,3613981.0,3691477.5,2782413,4290556,786717.5,4704.0,4672.5,4511,4960,188.6,cuLaunchKernel,triton_poi_fused_add_0
329640,330374,1,2,2,3582582.0,3582582.0,2982394,4182770,848794.0,16656.5,16656.5,9351,23962,10331.5,3560981.5,3560981.5,2953408,4168555,859238.7,4944.0,4944.0,4864,5024,113.1,cudaLaunchKernel,"void at::native::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float, (bool)1>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)"
329640,330374,1,2,2,3516351.5,3516351.5,2907215,4125488,861449.1,10760.0,10760.0,8743,12777,2852.5,3450279.5,3450279.5,2839206,4061353,864188.4,55312.0,55312.0,55232,55392,113.1,cuLaunchKernelEx,nvjet_sm90_tst_256x128_64x4_1x2_h_bz_coopA_TNT
329640,330374,1,5,5,3446412.2,3302037.0,1779810,5842454,1480341.5,5121.6,5269.0,4740,5301,246.5,3436516.2,3292625.0,1769526,5833217,1480761.5,4774.4,4672.0,3936,5312,563.1,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
329640,330374,1,2,2,3398533.5,3398533.5,2781517,4015550,872593.1,7456.5,7456.5,6316,8597,1612.9,3384404.5,3384404.5,2766231,4002578,874229.3,6672.5,6672.5,6656,6689,23.3,cuLaunchKernel,triton_poi_fused_mul_silu_split_0
329640,330374,1,1,1,3395691.0,3395691.0,3395691,3395691,0.0,4700.0,4700.0,4700,4700,0.0,3386831.0,3386831.0,3386831,3386831,0.0,4160.0,4160.0,4160,4160,0.0,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
329640,330374,1,1,1,3384781.0,3384781.0,3384781,3384781,0.0,4348.0,4348.0,4348,4348,0.0,3377617.0,3377617.0,3377617,3377617,0.0,2816.0,2816.0,2816,2816,0.0,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
329640,330374,1,1,1,3357642.0,3357642.0,3357642,3357642,0.0,4987.0,4987.0,4987,4987,0.0,3350862.0,3350862.0,3350862,3350862,0.0,1793.0,1793.0,1793,1793,0.0,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)128, (int)1, (int)16, (int)8>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
329640,330374,1,1,1,3228825.0,3228825.0,3228825,3228825,0.0,7259.0,7259.0,7259,7259,0.0,3211422.0,3211422.0,3211422,3211422,0.0,10144.0,10144.0,10144,10144,0.0,cuLaunchKernelEx,nvjet_sm90_tst_192x192_64x4_2x1_v_bz_coopB_TNN
329640,330374,1,1,1,3212608.0,3212608.0,3212608,3212608,0.0,6526.0,6526.0,6526,6526,0.0,3181986.0,3181986.0,3181986,3181986,0.0,24096.0,24096.0,24096,24096,0.0,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
329640,330374,1,1,1,3189207.0,3189207.0,3189207,3189207,0.0,5644.0,5644.0,5644,5644,0.0,3182059.0,3182059.0,3182059,3182059,0.0,1504.0,1504.0,1504,1504,0.0,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
329640,330374,1,1,1,3177714.0,3177714.0,3177714,3177714,0.0,4934.0,4934.0,4934,4934,0.0,3169292.0,3169292.0,3169292,3169292,0.0,3488.0,3488.0,3488,3488,0.0,cudaLaunchKernel,"void at::native::triu_tril_kernel<float, int, (bool)1, (int)2, (bool)0>(at::cuda::detail::TensorInfo<T1, T2>, at::cuda::detail::TensorInfo<const T1, T2>, long, long, T2)"
329640,330374,1,1,1,3177320.0,3177320.0,3177320,3177320,0.0,6096.0,6096.0,6096,6096,0.0,3137912.0,3137912.0,3137912,3137912,0.0,33312.0,33312.0,33312,33312,0.0,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, bool) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
329640,330374,1,1,1,3165121.0,3165121.0,3165121,3165121,0.0,5719.0,5719.0,5719,5719,0.0,3156170.0,3156170.0,3156170,3156170,0.0,3232.0,3232.0,3232,3232,0.0,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 11)]::operator ()() const::[lambda(bool) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
329640,330374,1,1,1,3153593.0,3153593.0,3153593,3153593,0.0,10870.0,10870.0,10870,10870,0.0,3111843.0,3111843.0,3111843,3111843,0.0,30880.0,30880.0,30880,30880,0.0,cudaLaunchKernel,"void <unnamed>::softmax_warp_forward<float, float, float, (int)10, (bool)0, (bool)0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)"
329640,330374,1,1,1,3149188.0,3149188.0,3149188,3149188,0.0,4766.0,4766.0,4766,4766,0.0,3125670.0,3125670.0,3125670,3125670,0.0,18752.0,18752.0,18752,18752,0.0,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
329640,330374,1,1,1,3105944.0,3105944.0,3105944,3105944,0.0,5370.0,5370.0,5370,5370,0.0,3061053.0,3061053.0,3061053,3061053,0.0,39521.0,39521.0,39521,39521,0.0,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
329640,329640,1,1,1,2917007.0,2917007.0,2917007,2917007,0.0,17852.0,17852.0,17852,17852,0.0,2897715.0,2897715.0,2897715,2897715,0.0,1440.0,1440.0,1440,1440,0.0,cudaLaunchKernel,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
329640,330374,1,4,4,2813226.5,2803065.5,1692909,3953866,925936.3,7394.0,7397.0,6844,7938,512.2,2784064.8,2773648.0,1671857,3917106,920108.6,21767.8,21632.0,13984,29823,8864.6,cuLaunchKernelEx,nvjet_sm90_tst_128x128_64x6_4x2_h_bz_TNT
329640,329640,1,1,1,2765310.0,2765310.0,2765310,2765310,0.0,10030.0,10030.0,10030,10030,0.0,2753488.0,2753488.0,2753488,2753488,0.0,1792.0,1792.0,1792,1792,0.0,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
329640,329640,1,1,1,2723489.0,2723489.0,2723489,2723489,0.0,11845.0,11845.0,11845,11845,0.0,2709628.0,2709628.0,2709628,2709628,0.0,2016.0,2016.0,2016,2016,0.0,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)2, (int)128, (int)1, (int)16, (int)4>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
329640,329640,1,1,1,2681640.0,2681640.0,2681640,2681640,0.0,6423.0,6423.0,6423,6423,0.0,2673521.0,2673521.0,2673521,2673521,0.0,1696.0,1696.0,1696,1696,0.0,cudaLaunchKernel,"transformer_engine::multi_tensor_l2norm::cleanup(float *, float *, float *, float *, bool, int)"
329640,329640,1,2,2,2570207.5,2570207.5,1508290,3632125,1501778.1,12689.5,12689.5,11683,13696,1423.4,2553070.0,2553070.0,1490210,3615930,1503111.0,4448.0,4448.0,4384,4512,90.5,cudaLaunchKernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float>>, unsigned int, float, (int)4, (int)4>>(T3)"
329640,329640,1,1,1,2558902.0,2558902.0,2558902,2558902,0.0,15649.0,15649.0,15649,15649,0.0,2541941.0,2541941.0,2541941,2541941,0.0,1312.0,1312.0,1312,1312,0.0,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
329640,329640,1,2,2,2422174.5,2422174.5,1313415,3530934,1568022.7,11622.5,11622.5,7890,15355,5278.6,2409048.0,2409048.0,1296556,3521540,1573301.3,1504.0,1504.0,1504,1504,0.0,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, bool) (instance 1)], std::array<char *, (unsigned long)3>>(int, T2, T3)"
329640,330374,1,2,2,2409165.0,2409165.0,1804664,3013666,854893.5,7226.0,7226.0,6973,7479,357.8,2392531.0,2392531.0,1788283,2996779,854535.7,9408.0,9408.0,9408,9408,0.0,cuLaunchKernelEx,nvjet_sm90_tst_128x96_64x7_1x2_h_bz_NNT
329640,329640,1,2,2,2383944.0,2383944.0,1256410,3511478,1594573.9,7993.0,7993.0,7918,8068,106.1,2374319.0,2374319.0,1246774,3501864,1594589.4,1632.0,1632.0,1568,1696,90.5,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
329640,329640,1,2,2,2351814.5,2351814.5,1207485,3496144,1618326.3,9731.5,9731.5,9389,10074,484.4,2340195.0,2340195.0,1196176,3484214,1617887.2,1888.0,1888.0,1856,1920,45.3,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
