NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,,,0,1,7776,7776.0,7776.0,7776,7776,0.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
,,,,0,1,6048,6048.0,6048.0,6048,6048,0.0,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
,,329409,330375,0,5,177504,35500.8,35392.0,34656,36929,897.7,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
,,329409,330375,0,3,166399,55466.3,55519.0,55136,55744,307.4,nvjet_sm90_tst_256x128_64x4_1x2_h_bz_coopA_TNT
,,329409,330375,0,5,109825,21965.0,27200.0,13920,27360,7257.0,nvjet_sm90_tst_128x128_64x6_4x2_h_bz_TNT
,,329409,330375,0,3,71584,23861.3,23840.0,23840,23904,37.0,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
,,329409,330375,0,2,67456,33728.0,33728.0,33696,33760,45.3,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, bool) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
,,329409,330375,0,9,62368,6929.8,1216.0,1152,18528,8594.9,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
,,329409,330375,0,2,61024,30512.0,30512.0,29856,31168,927.7,"void <unnamed>::softmax_warp_forward<float, float, float, (int)10, (bool)0, (bool)0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)"
,,329409,330375,0,1,39392,39392.0,39392.0,39392,39392,0.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
,,329409,330375,0,8,36256,4532.0,4672.0,2432,5216,882.2,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
,,329409,330375,0,3,31488,10496.0,10240.0,10080,11168,587.4,nvjet_sm90_tst_192x192_64x4_2x1_v_bz_coopB_TNN
,,329409,330375,0,6,28736,4789.3,4784.0,4512,5184,240.9,triton_poi_fused_add_0
,,329409,330375,0,5,28353,5670.6,4897.0,4128,9504,2169.4,"void at::native::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float, (bool)1>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)"
,,329409,330375,0,3,26401,8800.3,9152.0,8065,9184,637.0,nvjet_sm90_tst_128x96_64x7_1x2_h_bz_NNT
,,329409,330375,0,6,23200,3866.7,2896.0,2816,6016,1556.3,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
,,329409,330375,0,3,18976,6325.3,6464.0,6048,6464,240.2,triton_poi_fused_mul_silu_split_0
,,329409,330375,0,1,18432,18432.0,18432.0,18432,18432,0.0,nvjet_sm90_tst_144x128_64x6_1x2_h_bz_TNN
,,329409,330375,0,3,16704,5568.0,4128.0,4096,8480,2521.9,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
,,329409,330375,0,4,10176,2544.0,2544.0,1664,3424,997.8,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)128, (int)1, (int)16, (int)8>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
