Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
74.8,12753774817,2,6376887408.5,6376887408.5,6349244509,6404530308,39092963.4,PushPop,:actor_actor_train_rollout_1
21.6,3688259278,4,922064819.5,920239147.0,741609,1847039375,1063843259.9,PushPop,cuBLAS:cublasCreate_v2
3.4,577130006,2,288565003.0,288565003.0,256099624,321030382,45912979.3,PushPop,NCCL:ncclCommInitRankConfig
0.2,35169678,734,47915.1,45011.5,13161,112441,9761.1,PushPop,NCCL:ncclAllReduce
0.0,670484,2,335242.0,335242.0,52729,617755,399533.7,PushPop,:nvte_multi_tensor_adam_cuda
0.0,598074,1,598074.0,598074.0,598074,598074,0.0,PushPop,:nvte_multi_tensor_l2norm_cuda
0.0,339853,8,42481.6,40143.0,3570,86145,31913.0,PushPop,:nvte_rmsnorm_bwd
0.0,338768,9,37640.9,38564.0,4527,56975,15982.2,PushPop,NCCL:ncclAllGather
0.0,274000,8,34250.0,32486.0,2874,73225,26490.2,PushPop,:nvte_rmsnorm_fwd
0.0,10208,2,5104.0,5104.0,1299,8909,5381.1,PushPop,NCCL:ncclGroupStart
0.0,1925,2,962.5,962.5,912,1013,71.4,PushPop,NCCL:ncclGroupEnd
